City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
95,Jamestown,US,42.097,-79.2353,80.24,62,0,5.75,clear sky
96,Hobart,AU,-42.8794,147.3294,59.25,71,0,6.91,clear sky
97,Zyryanka,RU,65.75,150.85,64.38,51,64,12.01,broken clouds
98,Gannan,CN,47.9147,123.5031,66.15,51,90,13.38,overcast clouds
99,Mochicahui,MX,25.9333,-108.9333,82.22,60,83,8.84,broken clouds
100,Chik,RU,54.9928,82.4311,51.55,76,0,11.18,clear sky
101,Dali,CN,25.7,100.1833,63.97,94,100,4.32,overcast clouds
102,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.74,87,10,17.81,clear sky
103,Samarai,PG,-10.6167,150.6667,80.13,82,96,14.2,overcast clouds
104,Kastamonu,TR,41.5,33.6667,59.86,87,33,1.41,scattered clouds
105,Borba,BR,-4.3878,-59.5939,76.46,79,92,3.11,heavy intensity rain
106,Saint-Georges,GD,12.0564,-61.7485,82.08,83,20,5.75,few clouds
107,Meulaboh,ID,4.1363,96.1285,74.3,87,95,2.48,overcast clouds
108,Huilong,CN,31.8111,121.655,80.92,74,55,13.35,broken clouds
109,Vung Tau,VN,10.346,107.0843,81.23,82,100,14.18,overcast clouds
110,Turayf,SA,31.6725,38.6637,80.85,22,0,4.61,clear sky
111,Uribia,CO,11.7139,-72.266,87.55,54,49,13.02,scattered clouds
112,Arraial Do Cabo,BR,-22.9661,-42.0278,70.74,85,0,6.08,clear sky
113,Cap Malheureux,MU,-19.9842,57.6142,69.48,82,27,3.0,scattered clouds
114,Butaritari,KI,3.0707,172.7902,82.2,72,26,17.85,scattered clouds
115,Beisfjord,NO,68.3751,17.5988,52.05,95,100,6.13,overcast clouds
116,Bathsheba,BB,13.2167,-59.5167,83.01,78,20,12.66,few clouds
117,Salinas,US,36.6777,-121.6555,78.57,60,0,17.27,clear sky
118,Kapaa,US,22.0752,-159.319,84.18,70,75,13.8,light rain
119,Ponta Do Sol,PT,32.6667,-17.1,71.01,64,42,1.48,scattered clouds
120,Bilibino,RU,68.0546,166.4372,58.89,56,100,2.04,overcast clouds
121,Gamba,GA,-2.65,10.0,72.3,82,71,5.41,broken clouds
122,Port Elizabeth,ZA,-33.918,25.5701,55.69,80,0,14.97,clear sky
123,Vrangel,RU,42.7297,133.0839,67.69,73,100,1.34,overcast clouds
124,Jandiala,IN,31.1667,75.6167,78.44,82,88,1.7,overcast clouds
125,Nakama,JP,33.8167,130.7,80.15,74,81,1.99,broken clouds
126,Salinopolis,BR,-0.6136,-47.3561,79.66,81,85,12.35,overcast clouds
127,Atikokan,CA,48.7555,-91.6216,72.14,85,54,8.19,broken clouds
128,Krasnovishersk,RU,60.4078,57.082,56.43,97,14,2.3,light rain
129,Vaini,TO,-21.2,-175.2,75.36,88,40,9.22,scattered clouds
130,Phangnga,TH,8.4509,98.5298,77.04,92,100,1.61,light rain
131,Collie,AU,-33.3667,116.15,43.2,78,8,2.98,clear sky
132,Mareeba,AU,-17.0,145.4333,74.44,81,77,7.83,broken clouds
133,Lagoa,PT,39.05,-27.9833,71.22,73,92,9.55,overcast clouds
134,Saldanha,ZA,-33.0117,17.9442,44.65,74,2,8.63,clear sky
135,Yaan,NG,7.3833,8.5667,71.29,96,100,1.88,light rain
136,Whitecourt,CA,54.1502,-115.6855,70.84,40,75,9.22,broken clouds
137,Kembe,CF,4.6228,21.8865,67.64,98,93,3.36,overcast clouds
138,Souillac,MU,-20.5167,57.5167,70.52,82,40,11.86,scattered clouds
139,Progreso,MX,21.2833,-89.6667,89.71,84,56,14.76,broken clouds
140,Truro,GB,50.2653,-5.0544,63.68,77,34,8.05,scattered clouds
141,Leningradskiy,RU,69.3833,178.4167,43.36,74,32,6.2,scattered clouds
142,Luanda,AO,-8.8368,13.2343,69.8,83,31,5.75,scattered clouds
143,Beloha,MG,-25.1667,45.05,62.11,95,0,5.12,clear sky
144,Wilmington,US,34.2257,-77.9447,81.91,77,100,4.0,overcast clouds
145,Antsohihy,MG,-14.8796,47.9875,67.96,71,5,5.28,clear sky
146,Valverde Del Camino,ES,37.5751,-6.7543,70.03,89,77,3.22,light rain
147,Turukhansk,RU,65.8167,87.9833,35.74,91,100,9.98,overcast clouds
148,Georgetown,MY,5.4112,100.3354,76.95,93,20,3.44,few clouds
149,Iquique,CL,-20.2208,-70.1431,59.04,78,100,1.83,overcast clouds
150,Chuy,UY,-33.6971,-53.4616,41.18,69,26,7.23,scattered clouds
151,Raduzhnyy,RU,62.0961,77.475,46.42,87,100,7.4,overcast clouds
152,Guerrero Negro,MX,27.9769,-114.0611,74.17,70,8,18.28,clear sky
153,Saint George,US,37.1041,-113.5841,99.95,18,0,5.75,clear sky
154,Itambacuri,BR,-18.0311,-41.685,70.05,50,17,5.53,few clouds
155,Naliya,IN,23.2667,68.8333,79.34,73,80,10.58,broken clouds
156,Dwarka,IN,22.2394,68.9678,79.72,74,100,11.01,overcast clouds
157,Sakakah,SA,29.9697,40.2064,83.77,15,0,7.76,clear sky
158,Provideniya,RU,64.3833,-173.3,46.51,81,100,8.95,overcast clouds
159,Severo-Kurilsk,RU,50.6789,156.125,60.6,94,97,18.61,overcast clouds
160,Iqaluit,CA,63.7506,-68.5145,47.93,71,75,9.22,broken clouds
161,Cabo San Lucas,MX,22.8909,-109.9124,92.5,58,20,19.57,few clouds
162,Zhangye,CN,38.9342,100.4517,63.23,54,100,6.11,overcast clouds
163,Bluff,NZ,-46.6,168.3333,46.8,71,8,4.18,clear sky
164,Brockville,CA,44.5834,-75.6826,76.14,71,64,1.1,broken clouds
165,Vostok,RU,46.4856,135.8833,60.8,72,100,3.29,light rain
166,Beringovskiy,RU,63.05,179.3167,57.31,64,99,5.79,overcast clouds
167,Hasaki,JP,35.7333,140.8333,73.8,69,22,17.38,few clouds
168,Kodiak,US,57.79,-152.4072,56.71,82,100,4.61,overcast clouds
169,Kroya,ID,-7.6331,109.2461,75.52,75,94,6.73,overcast clouds
170,Tauteu,RO,47.2667,22.3333,73.15,64,70,0.65,broken clouds
171,Teguldet,RU,57.3064,88.1667,50.99,89,99,11.9,overcast clouds
172,Karpathos,GR,35.507,27.2132,76.96,83,0,17.27,clear sky
173,Kandrian,PG,-6.2167,149.55,83.8,72,95,5.91,overcast clouds
174,Djambala,CG,-2.5447,14.7533,73.02,67,99,4.68,light rain
175,Ola,RU,59.5833,151.2833,55.15,93,100,4.99,light rain
176,Esso,RU,55.9333,158.7,66.04,94,100,9.89,overcast clouds
177,Barranca,PE,-10.75,-77.7667,60.82,84,14,7.94,few clouds
178,Hithadhoo,MV,-0.6,73.0833,80.98,76,100,11.72,light rain
179,Hobyo,SO,5.3505,48.5268,75.34,85,51,23.09,broken clouds
180,Qaanaaq,GL,77.484,-69.3632,29.26,72,79,0.78,broken clouds
181,Broome,US,42.2506,-75.833,80.98,68,0,6.91,clear sky
182,Clarence Town,AU,-32.5833,151.7833,66.94,66,11,3.47,few clouds
183,Klaksvik,FO,62.2266,-6.589,45.52,75,48,11.74,scattered clouds
184,La Ronge,CA,55.1001,-105.2842,64.65,82,100,16.11,smoke
185,Preobrazheniye,RU,42.9019,133.9064,68.27,60,100,3.04,light rain
186,Anchorage,US,61.2181,-149.9003,63.93,80,20,4.61,light rain
187,Guerrero,MX,17.6667,-100.0,71.15,94,96,3.13,overcast clouds
188,Narsaq,GL,60.9167,-46.05,43.02,91,100,1.92,light rain
189,Tezu,IN,27.9167,96.1667,75.56,99,100,0.67,overcast clouds
190,Marzuq,YE,14.4,46.4667,81.48,43,91,7.78,overcast clouds
191,Kolokani,ML,13.5728,-8.0339,72.72,90,32,7.29,scattered clouds
192,East London,ZA,-33.0153,27.9116,61.2,75,77,16.4,broken clouds
193,Channel-Port Aux Basques,CA,47.5702,-59.1367,63.18,82,5,11.18,clear sky
194,Grindavik,IS,63.8424,-22.4338,53.55,93,75,17.27,broken clouds
195,Cidreira,BR,-30.1811,-50.2056,48.97,61,34,14.07,scattered clouds
196,Plainview,US,40.7765,-73.4673,76.68,75,75,10.36,broken clouds
197,Tasiilaq,GL,65.6145,-37.6368,44.76,95,100,23.6,moderate rain
198,Santiago De Cao,PE,-7.9589,-79.2392,60.93,82,40,10.36,fog
199,Cape Town,ZA,-33.9258,18.4232,49.91,79,20,3.44,few clouds
200,Rosetta,EG,31.4044,30.4164,77.99,76,0,11.34,clear sky
201,Jijiang,CN,29.2906,106.2542,74.28,89,100,7.34,overcast clouds
202,Sawakin,SD,19.1059,37.3321,92.35,40,75,1.45,broken clouds
203,Bubaque,GW,11.2833,-15.8333,77.94,87,100,9.33,moderate rain
204,Thinadhoo,MV,0.5333,72.9333,80.46,75,100,14.0,overcast clouds
205,San Rafael,AR,-34.6177,-68.3301,53.56,22,0,9.35,clear sky
206,Paris,FR,48.8534,2.3488,69.58,54,0,13.8,clear sky
207,Nichlaul,IN,27.3167,83.7333,76.87,83,87,5.14,overcast clouds
208,Nailsea,GB,51.4324,-2.7585,65.97,68,97,8.05,overcast clouds
209,Coihaique,CL,-45.5752,-72.0662,43.41,65,0,5.75,clear sky
210,Coquimbo,CL,-29.9533,-71.3436,55.13,94,75,8.05,broken clouds
211,Berlevag,NO,70.8578,29.0864,46.35,81,75,18.41,light rain
212,Asilah,MA,35.465,-6.0348,75.16,88,90,7.14,overcast clouds
213,Ketchikan,US,55.3422,-131.6461,59.47,94,100,11.5,light rain
214,Keffi,NG,8.8486,7.8736,69.46,93,98,1.61,overcast clouds
215,Evensk,RU,61.95,159.2333,53.42,89,100,8.05,light rain
216,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,68,0,11.5,clear sky
217,Almaznyy,RU,48.0448,40.045,69.13,46,26,10.49,scattered clouds
218,Birjand,IR,32.8663,59.2211,55.87,19,0,4.61,clear sky
219,Fortuna,US,40.5982,-124.1573,68.09,76,0,13.8,clear sky
220,Antoniny,UA,49.8097,26.8771,65.82,53,12,4.59,few clouds
221,Bauchi,NG,10.5,10.0,67.48,95,100,2.3,overcast clouds
222,Longyearbyen,SJ,78.2186,15.6401,37.24,75,75,6.91,broken clouds
223,Srednekolymsk,RU,67.45,153.6833,60.93,50,82,8.57,broken clouds
